Data for 2024-03-17: 
stock,timestamp,open,high,low,close,volume
GOOGL,2024-03-22 11:06:00,151.5700,151.5800,151.3600,151.4150,78275
GOOGL,2024-03-22 11:07:00,151.4200,151.4900,151.4150,151.4450,43628
GOOGL,2024-03-22 11:08:00,151.4400,151.4600,151.2700,151.2800,38584
GOOGL,2024-03-22 11:09:00,151.2850,151.3250,151.2600,151.2600,33086
GOOGL,2024-03-22 11:10:00,151.2570,151.4700,151.2550,151.4700,86821
GOOGL,2024-03-22 11:11:00,151.4670,151.5500,151.2700,151.2700,98853
GOOGL,2024-03-22 11:12:00,151.2530,151.3100,151.2450,151.2550,57069
GOOGL,2024-03-22 11:13:00,151.2510,151.2800,151.1500,151.1900,76863
GOOGL,2024-03-22 11:14:00,151.1850,151.2350,151.1350,151.2000,38389
GOOGL,2024-03-22 11:15:00,151.1900,151.3200,151.1900,151.2400,64803
GOOGL,2024-03-22 11:16:00,151.2600,151.2800,151.1700,151.1780,32125
GOOGL,2024-03-22 11:17:00,151.1800,151.2800,151.1800,151.2800,34486
GOOGL,2024-03-22 11:18:00,151.2890,151.3300,151.1900,151.1900,44246
GOOGL,2024-03-22 11:19:00,151.1800,151.2300,151.1450,151.1750,30382
GOOGL,2024-03-22 11:20:00,151.1700,151.2600,151.1700,151.2050,33775
GOOGL,2024-03-22 11:21:00,151.2000,151.2700,151.1950,151.2100,56968
GOOGL,2024-03-22 11:22:00,151.2150,151.2950,151.2000,151.2700,79009
GOOGL,2024-03-22 11:23:00,151.2700,151.2800,151.1600,151.2150,32932
GOOGL,2024-03-22 11:24:00,151.2100,151.2450,151.1700,151.1900,55912
GOOGL,2024-03-22 11:25:00,151.2000,151.3300,151.1800,151.3200,43553
GOOGL,2024-03-22 11:26:00,151.3300,151.3900,151.3200,151.3700,50047
GOOGL,2024-03-22 11:27:00,151.3800,151.4400,151.3700,151.3900,69259
GOOGL,2024-03-22 11:28:00,151.4100,151.4160,151.2900,151.3000,39241
GOOGL,2024-03-22 11:29:00,151.2900,151.3650,151.2800,151.3400,26251
GOOGL,2024-03-22 11:30:00,151.3400,151.4000,151.2800,151.2950,36647
GOOGL,2024-03-22 11:31:00,151.2800,151.3000,151.2400,151.2600,51612
GOOGL,2024-03-22 11:32:00,151.2550,151.2550,151.0660,151.1100,63943
GOOGL,2024-03-22 11:33:00,151.1200,151.1600,151.0850,151.0850,53264
GOOGL,2024-03-22 11:34:00,151.0860,151.0900,150.9700,150.9850,58321
GOOGL,2024-03-22 11:35:00,150.9900,151.0900,150.9900,151.0800,24753
GOOGL,2024-03-22 11:36:00,151.0700,151.0800,150.9700,150.9700,41645
GOOGL,2024-03-22 11:37:00,150.9700,150.9700,150.9100,150.9100,29392
GOOGL,2024-03-22 11:38:00,150.9100,150.9300,150.8600,150.9200,35766
GOOGL,2024-03-22 11:39:00,150.9200,150.9580,150.8850,150.8850,28947
GOOGL,2024-03-22 11:40:00,150.8800,150.9350,150.8600,150.9000,23999
GOOGL,2024-03-22 11:41:00,150.9000,150.9300,150.8810,150.9250,30716
GOOGL,2024-03-22 11:42:00,150.9300,150.9300,150.8400,150.8900,33024
GOOGL,2024-03-22 11:43:00,150.8950,150.8950,150.8550,150.8600,22262
GOOGL,2024-03-22 11:44:00,150.8540,150.8600,150.7700,150.7850,30270
GOOGL,2024-03-22 11:45:00,150.7850,150.7900,150.7200,150.7700,37699
GOOGL,2024-03-22 11:46:00,150.7600,150.7900,150.7130,150.7250,20085
GOOGL,2024-03-22 11:47:00,150.7300,150.8150,150.7300,150.7800,39525
GOOGL,2024-03-22 11:48:00,150.7700,150.7850,150.7400,150.7450,62103
GOOGL,2024-03-22 11:49:00,150.7400,150.7800,150.7200,150.7350,41837
GOOGL,2024-03-22 11:50:00,150.7400,150.8600,150.7300,150.8350,37788
GOOGL,2024-03-22 11:51:00,150.8300,150.8500,150.7700,150.8000,29497
GOOGL,2024-03-22 11:52:00,150.8000,150.8150,150.7600,150.7850,23063
GOOGL,2024-03-22 11:53:00,150.7900,150.7900,150.6950,150.7450,38213
GOOGL,2024-03-22 11:54:00,150.7500,150.7500,150.6880,150.7100,19599
GOOGL,2024-03-22 11:55:00,150.7150,150.7650,150.7100,150.7400,28364
GOOGL,2024-03-22 11:56:00,150.7300,150.7300,150.6800,150.7100,31401
GOOGL,2024-03-22 11:57:00,150.7150,150.7300,150.6400,150.6550,34386
GOOGL,2024-03-22 11:58:00,150.6400,150.7150,150.6100,150.6850,36074
GOOGL,2024-03-22 11:59:00,150.6800,150.6900,150.6300,150.6460,28449
GOOGL,2024-03-22 12:00:00,150.6500,150.7100,150.6500,150.6650,72723
GOOGL,2024-03-22 12:01:00,150.6600,150.6850,150.5700,150.5900,43693
GOOGL,2024-03-22 12:02:00,150.5900,150.6280,150.5600,150.5700,30734
GOOGL,2024-03-22 12:03:00,150.5550,150.5800,150.3700,150.3750,85549
GOOGL,2024-03-22 12:04:00,150.3800,150.4950,150.3700,150.4880,50848
GOOGL,2024-03-22 12:05:00,150.4850,150.4940,150.3800,150.3900,33839
GOOGL,2024-03-22 12:06:00,150.3850,150.5400,150.3850,150.5300,46144
GOOGL,2024-03-22 12:07:00,150.5300,150.5300,150.4300,150.4800,41034
GOOGL,2024-03-22 12:08:00,150.4750,150.4750,150.3600,150.4050,68070
GOOGL,2024-03-22 12:09:00,150.4100,150.5000,150.4100,150.4800,25763
GOOGL,2024-03-22 12:10:00,150.4950,150.5200,150.4500,150.5000,31002
GOOGL,2024-03-22 12:11:00,150.5150,150.5300,150.4100,150.4200,24348
GOOGL,2024-03-22 12:12:00,150.4300,150.4350,150.2700,150.2940,44825
GOOGL,2024-03-22 12:13:00,150.3000,150.3400,150.2500,150.2800,59303
GOOGL,2024-03-22 12:14:00,150.2870,150.3500,150.2800,150.3300,39346
GOOGL,2024-03-22 12:15:00,150.3400,150.3750,150.3100,150.3750,26457
GOOGL,2024-03-22 12:16:00,150.3710,150.3710,150.2550,150.2900,32720
GOOGL,2024-03-22 12:17:00,150.3000,150.3100,150.2800,150.3000,28030
